"Time, min.","VTAS, fps",Mach No.,"Altitude, ft","Climb Rate, Feet per Minute",Total Aircraft CD,Total Aircraft CL,Profile Drag,Induced Drag,Wave Drag,Wing Profile Drag,Fuselage Profile Drag,Fuselage Skin Friction,Reynolds Number,"Weight, Lbs","HEx Drag, lbs","FC Power Available, Watts","FC Power Required, Watts","Thrust Available, Lb","Thrust Required, Lb","Thrust Commanded, Lb","Thrust Power Commanded, Watts","Motor Power Commanded, Watts","Fuel Cell Power Commanded, Watts",TSFC lb/lbf-hr
216,748.442203630972,0.773,37000,0,0.0289815225894181,0.530341021383113,0,0,0,0,0,0,16834828.8030744,184691.90182991,618.741734758485,23201213.0933202,15585041.6844134,15776.7475819819,10713.2794824324,10713.2794824324,10871171.1492502,14179820.6582316,15585041.6844134,4.80392678529678e-05
217,748.442203630972,0.773,37000,0,0.0289779404975416,0.530252366058023,0,0,0,0,0,0,16834828.8030744,184661.028393315,618.363030528997,23201213.0933202,15582711.8199342,15776.7475819819,10711.6531018067,10711.6531018067,10869520.7991249,14177555.525146,15582711.8199342,4.80371490467962e-05
218,748.442203630972,0.773,37000,0,0.0289743599164956,0.530163728101292,0,0,0,0,0,0,16834828.8030744,184630.161003169,617.984486256728,23201213.0933202,15580382.9384588,15776.7475819819,10710.0274073746,10710.0274073746,10867871.1453064,14175291.3477532,15580382.9384588,4.80350313649386e-05
219,748.442203630972,0.773,37000,0,0.0289707808439756,0.53007510750398,0,0,0,0,0,0,16834828.8030744,184599.299656363,617.606101697811,23201213.0933202,15578055.038488,15776.7475819819,10708.4023980898,10708.4023980898,10866222.1867327,14173028.1245955,15578055.038488,4.80329148057236e-05
220,748.442203630972,0.773,37000,0,0.0289672032776798,0.52998650425716,0,0,0,0,0,0,16834828.8030744,184568.444349794,617.227876608663,23201213.0933202,15575728.1185244,15776.7475819819,10706.7780729068,10706.7780729068,10864573.9223432,14170765.8542172,15575728.1185244,4.80307993674824e-05
221,748.442203630972,0.773,37000,0,0.0289636272153092,0.529897918351921,0,0,0,0,0,0,16834828.8030744,184537.595080361,616.849810745987,23201213.0933202,15573402.1770723,15776.7475819819,10705.1544307816,10705.1544307816,10862926.3510783,14168504.5351639,15573402.1770723,4.80286850485482e-05
222,748.442203630972,0.773,37000,0,0.0289600526545673,0.529809349779363,0,0,0,0,0,0,16834828.8030744,184506.751844969,616.471903866771,23201213.0933202,15571077.2126376,15776.7475819819,10703.5314706714,10703.5314706714,10861279.4718799,14166244.1659834,15571077.2126376,4.80265718472569e-05
223,748.442203630972,0.773,37000,0,0.0289564795931605,0.529720798530601,0,0,0,0,0,0,16834828.8030744,184475.914640528,616.094155728281,23201213.0933202,15568753.2237283,15776.7475819819,10701.9091915344,10701.9091915344,10859633.2836908,14163984.7452249,15568753.2237283,4.80244597619465e-05
224,748.442203630972,0.773,37000,0,0.0289529080287976,0.529632264596761,0,0,0,0,0,0,16834828.8030744,184445.083463953,615.71656608807,23201213.0933202,15566430.2088538,15776.7475819819,10700.2875923303,10700.2875923303,10857987.7854554,14161726.2714392,15566430.2088538,4.80223487909575e-05
225,748.442203630972,0.773,37000,0,0.0289493379591904,0.529543747968986,0,0,0,0,0,0,16834828.8030744,184414.258312162,615.339134703972,23201213.0933202,15564108.1665253,15776.7475819819,10698.6666720197,10698.6666720197,10856342.9761191,14159468.743179,15564108.1665253,4.80202389326326e-05
226,748.442203630972,0.773,37000,0,0.028945769382053,0.529455248638429,0,0,0,0,0,0,16834828.8030744,184383.439182079,614.961861334102,23201213.0933202,15561787.0952558,15776.7475819819,10697.0464295647,10697.0464295647,10854698.8546285,14157212.1589986,15561787.0952558,4.8018130185317e-05
227,748.442203630972,0.773,37000,0,0.0289422022951025,0.529366766596257,0,0,0,0,0,0,16834828.8030744,184352.626070631,614.584745736859,23201213.0933202,15559466.9935601,15776.7475819819,10695.4268639284,10695.4268639284,10853055.4199316,14154956.5174539,15559466.9935601,4.8016022547358e-05
228,748.442203630972,0.773,37000,0,0.0289386366960583,0.529278301833652,0,0,0,0,0,0,16834828.8030744,184321.818974753,614.20778767092,23201213.0933202,15557147.8599546,15776.7475819819,10693.8079740753,10693.8079740753,10851412.6709775,14152701.8171027,15557147.8599546,4.80139160171055e-05
229,748.442203630972,0.773,37000,0,0.0289350725826428,0.529189854341808,0,0,0,0,0,0,16834828.8030744,184291.017891381,613.830986895245,23201213.0933202,15554829.6929575,15776.7475819819,10692.189758971,10692.189758971,10849770.6067165,14150448.0565043,15554829.6929575,4.80118105929115e-05
230,748.442203630972,0.773,37000,0,0.0289315099525809,0.529101424111932,0,0,0,0,0,0,16834828.8030744,184260.222817458,613.454343169075,23201213.0933202,15552512.4910887,15776.7475819819,10690.5722175822,10690.5722175822,10848129.2261003,14148195.2342196,15552512.4910887,4.80097062731304e-05
231,748.442203630972,0.773,37000,0,0.0289279488036,0.529013011135244,0,0,0,0,0,0,16834828.8030744,184229.433749929,613.077856251927,23201213.0933202,15550196.2528697,15776.7475819819,10688.9553488769,10688.9553488769,10846488.5280815,14145943.3488114,15550196.2528697,4.80076030561191e-05
232,748.442203630972,0.773,37000,0,0.0289243891334304,0.528924615402979,0,0,0,0,0,0,16834828.8030744,184198.650685747,612.701525903602,23201213.0933202,15547880.9768239,15776.7475819819,10687.3391518243,10687.3391518243,10844848.5116143,14143692.398844,15547880.9768239,4.80055009402364e-05
233,748.442203630972,0.773,37000,0,0.0289208309398048,0.528836236906384,0,0,0,0,0,0,16834828.8030744,184167.873621867,612.325351884179,23201213.0933202,15545566.6614763,15776.7475819819,10685.7236253949,10685.7236253949,10843209.1756538,14141442.3828835,15545566.6614763,4.80033999238438e-05
234,748.442203630972,0.773,37000,0,0.0289172742204588,0.528747875636718,0,0,0,0,0,0,16834828.8030744,184137.10255525,611.949333954013,23201213.0933202,15543253.3053537,15776.7475819819,10684.1087685602,10684.1087685602,10841570.5191565,14139193.2994975,15543253.3053537,4.80013000053048e-05
235,748.442203630972,0.773,37000,0,0.0289137189731303,0.528659531585256,0,0,0,0,0,0,16834828.8030744,184106.33748286,611.573471873741,23201213.0933202,15540940.9069847,15776.7475819819,10682.494580293,10682.494580293,10839932.5410799,14136945.1472554,15540940.9069847,4.79992011829856e-05
236,748.442203630972,0.773,37000,0,0.0289101651955602,0.528571204743283,0,0,0,0,0,0,16834828.8030744,184075.578401668,611.197765404275,23201213.0933202,15538629.4648992,15776.7475819819,10680.8810595673,10680.8810595673,10838295.2403831,14134697.9247282,15538629.4648992,4.79971034552542e-05
237,748.442203630972,0.773,37000,0,0.0289066128854917,0.528482895102099,0,0,0,0,0,0,16834828.8030744,184044.825308647,610.822214306807,23201213.0933202,15536318.9776293,15776.7475819819,10679.2682053582,10679.2682053582,10836658.616026,14132451.6304886,15536318.9776293,4.79950068204813e-05
238,748.442203630972,0.773,37000,0,0.0289030620406707,0.528394602653017,0,0,0,0,0,0,16834828.8030744,184014.078200775,610.446818342805,23201213.0933202,15534009.4437086,15776.7475819819,10677.6560166422,10677.6560166422,10835022.6669699,14130206.2631109,15534009.4437086,4.79929112770396e-05
239,748.442203630972,0.773,37000,0,0.0288995126588458,0.528306327387363,0,0,0,0,0,0,16834828.8030744,183983.337075037,610.071577274012,23201213.0933202,15531700.8616722,15776.7475819819,10676.0444923967,10676.0444923967,10833387.3921773,14127961.8211711,15531700.8616722,4.79908168233043e-05
240,748.442203630972,0.773,37000,0,0.0288959647377683,0.528218069296476,0,0,0,0,0,0,16834828.8030744,183952.601928421,609.696490862451,23201213.0933202,15529393.2300572,15776.7475819819,10674.4336316005,10674.4336316005,10831752.7906119,14125718.3032468,15529393.2300572,4.79887234576528e-05
