"Time, min.","Thrust, lbf","VTAS, fps","Altitude, ft",Total Aircraft CD,Total Aircraft CL,Profile Drag,Induced Drag,Wave Drag
56,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
57,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
58,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
59,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
60,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
61,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
62,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
63,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
64,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
65,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
66,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
67,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
68,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
69,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
70,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
71,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
72,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
73,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
74,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
75,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
76,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
77,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
78,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
